"Folsom Prison Blues (Live)","Johnny Cash","At Folsom Prison"
"Colorvision","Com Truise","In Decay"
"Controlpop","Com Truise","In Decay"
"Klymaxx","Com Truise","In Decay"
"These Chains","Hot Chip","In Our Heads"
"Look At Where We Are","Hot Chip","In Our Heads"
"Make Love","Daft Punk","Human After All"
"Twenty Three","Four Tet","Pause"
"25 Minutes To Go (Live)","Johnny Cash","At Folsom Prison"
"Decatur, or round of applause for your Step-Motther!","Sufjan Stevens","Illinois"
"Default","Atoms For Peace","Default"
"Sim Sala Bim","Fleet Foxes","Helplessness Blues"
"Mirando","Ratatat","LP3"
"Sim Sala Bim","Fleet Foxes","Helplessness Blues"
"Let Me Be Him","Hot Chip","In Our Heads"
"Genesis","Grimes","Visions"
"Jacksonville","Sufjan Stevens","Illinois"
"Yet Again","Grizzly Bear","Shields"
