"Title","Artist","Album"
"Who’s Singing","Calibre","Condition"
"Schlager","Calibre","Condition"
"Half And Half","Calibre","Condition"
"No Eyes","Baths","Obsidian"
"If I Had A Tail","Queens Of The Stone Age","...Like Clockwork"
"Miasma Sky","Baths","Obsidian"
"Lose Yourself to Dance (feat. Pharrell Williams)","Daft Punk","Random Access Memories"
"I Ask You Why","Bachelors of Science","Spanish Sun"
"Ossuary","Baths","Obsidian"
"Scale It Back (Kev Willow Remix)","DJ Shadow, Little Dragon","Scale It Back"
"Explain My Heart","Saul Williams","Volcanic Sunlight"
"Song for John in D","Kurt Vile","God Is Saying This To You..."
"Reach For The Dead","Boards Of Canada","Reach For The Dead"
"Ringleader","Shigeto","Ringleader"
"Detroit Part 1","Shigeto","Detroit Part 1"
"Half Full Glass Of Wine","Tame Impala","Tame Impala"
