"I Gotta Rokk","DJ Shadow","The Less You Know, The Better"
"Ironworks","Baths","Obsidian"
"The Ghost Inside","Broken Bells","Broken Bells"
"Sunset","The xx","Coexist"
"Reunion","The xx","Coexist"
"Swept Away","The xx","Coexist"
"And the Beat Goes On","The Whispers","50th Anniversary Greatest Hits, Vol. One"
"Automatic (Long Version)","The Pointer Sisters","Greatest Hits"
"All Night Long","Mary Jane Girls","Soul"
"Ghetto Life","Rick James","Street Songs (Deluxe Edition)"
"Shame","Evelyn "Champagne" King","Legends"
"Chained","The xx","Coexist"
"Crystalised","The xx","XX"
"Katachi","Shugo Tokumaru","In Focus?"
"Suddenly","Calibre","Overflow"
"Stay The Course","DJ Shadow","The Less You Know, The Better"
"Crystals","M|O|O|N","Moon - EP"
