"Title","Artist","Album"
"The Path (A New Beginning)","Gustavo Santaolalla","The Last of Us"
"Will the Circle Be Unbroken (feat. Pop Staple)","The Staple Singers","This May Be the Last Time"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM"
"All The Right Things","Son Lux","We Are Rising"
"New York, I Love You But You're Bringing Me Down","LCD Soundsystem","Sound Of Silver"
"The Set Up","Favored Nations","The Music of Grand Theft Auto V, Vol. 1: Original Music"
"Yr City's A Sucker","LCD Soundsystem","LCD Soundsystem"
"Satellite","Nine Inch Nails","Hesitation Marks (Deluxe Edition)"
"Dance Yrself Clean","LCD Soundsystem","This Is Happening"
"Never Say Never","Romeo Void","Warm, In Your Coat"
"High Pressure Dave","Health","The Music of Grand Theft Auto V, Vol. 1: Original Music"
"Die Slow (Tobacco Remix)","HEALTH","Die Slow"
"The Wisdom of Stone (Do You Believe in..?)","Zombie Zombie","Rituels d'un nouveau monde"
"Forgotten Notes","Hackman","Forgotten Notes"
"Stay","Son Lux","At War With Walls and Mazes"
"The Last of Us (You and Me)","Gustavo Santaolalla","The Last of Us"
