"Title","Artist","Album"
"Hasta Luego Mr. Fab (Interlude)","Groove Armada","Soundboy Rock"
"History (feat. Will Young)","Groove Armada","Black Light"
"Odessa (Junior Boys mix)","Caribou","Swim + Swim Remixes"
"Birthday","Junior Boys","Last Exit"
"Florence To Rome","Andy Cato","Times And Places"
"South Of Mexico City","Andy Cato","Times And Places"
"My Friend","Groove Armada","The Best Of"
"Inside My Mind (Blue Skies)","Groove Armada","The Best Of"
"Lake Of Stars","Andy Cato","Times And Places"
"Palermo By Night","Andy Cato","Times And Places"
"Jubilee Street","Nick Cave & The Bad Seeds","Push the Sky Away"
"We No Who U R","Nick Cave & The Bad Seeds","Push the Sky Away"
"Finishing Jubilee Street","Nick Cave & The Bad Seeds","Push the Sky Away"
"Bits And Pieces","Junior Boys","Begone Dull Care"
"Dull To Pause","Junior Boys","Begone Dull Care"
"Cheap And Cheerful","The Kills","Cheap And Cheerful"
"99 Problems (Album Version (Explicit))","Jay Z","The Black Album"
"Get Down","Groove Armada","Soundboy Rock"
"The Things We Could Share","Groove Armada","Soundboy Rock"
"Cascade","Tycho","Past Is Prologue"
"Awake","Tycho","Awake"
"Disorder","Joy Division","The Best Of"
"Ceremony","New Order","Substance"
"New Dawn Fades","Joy Division","The Best Of"
"City Of Angels","The Distillers","Sing Sing Death House"
"Mystery Machnine","Ed Rush & Optical","Wormhole"
"Mind Playin' Tricks on Me","Geto Boys","Number 1 Street Hits"
"Ten Cent Pistol","The Black Keys","Brothers"
"Candy Says","The Velvet Underground","The Velvet Underground"
"Sinister Kid","The Black Keys","Brothers"
"Pale Blue Eyes","The Velvet Underground","The Velvet Underground"
