"Constant Surprises","Little Dragon","Little Dragon"
"No Love","Little Dragon","Little Dragon"
"Open Eye Signal","Jon Hopkins","Immunity"
"Sun Harmonics","Jon Hopkins","Immunity"
"Porno","Arcade Fire","Reflektor"
"Will Calls (Marfa Demo)","Grizzly Bear","Shields: B-Sides"
"Sleeping Ute (Nicolas Jaar Remix)","Grizzly Bear","Shields: B-Sides"
"Supernatural Thing","Freeland","Now & Them"
"Neon Bible","Arcade Fire","Neon Bible (Comm CD)"
"Windowsill","Arcade Fire","Neon Bible (Comm CD)"
"No Cars Go","Arcade Fire","Neon Bible (Comm CD)"
"Talking Shit About a Pretty Sunset","Modest Mouse","This is a Long Drive for Someone With Nothing to Think About"
"Bustelo","Ratatat","Ratatat"
"Brennisteinn","Sigur Rós","Kveikur"
"We Exist","Arcade Fire","Reflektor"
"The Only Time","Nine Inch Nails","Pretty Hate Machine: 2010 Remaster (International Version)"
"Lost It To Trying","Son Lux","Lanterns"
"No Crimes","Son Lux","Lanterns"
"Gonna Leave You (Spanish Version)","Queens Of The Stone Age","No One Knows (CD2)"
"For the Widows in Paradise, For the Fatherless in Ypsilanti","Sufjan Stevens","Michigan"
"Nightdrive With You (Fear Of Tigers Remix)","Anoraak","Nightdrive With You Remixes - EP"
"Daisuke","El Huervo","Do Not Lay Waste To Homes..."
"Rounders","El Huervo","Do Not Lay Waste To Homes..."
"Beginning","El Huervo","To Stop You Must Die"
"High For Lows","El Huervo","To Stop You Must Die"
"Lovers","El Huervo","To Stop You Must Die"
"Paris","M|O|O|N","Moon - EP"
"Night Is On My Mind","Oliver","Mechanical"
"Mechanical","Oliver","Mechanical"
"Control (Nom De Strip Remix)","Oliver","Mechanical Remixes"
"MYB (Tchami Remix)","Oliver","Mechanical Remixes"
"Mechanical (Values Remix)","Oliver","Mechanical Remixes"
"At The River","Groove Armada","Groove Armada Greatest Hits"
"Moon In Water","Underworld","Barking"
"Lovesick (Once Again)","The Hundred In The Hands","The Hundred In The Hands"
"Ponderosa","Tricky","Maxinquaye (Deluxe Edition)"
"Black Steel","Tricky","Maxinquaye (Deluxe Edition)"
"Hell Is Round The Corner","Tricky","Maxinquaye (Deluxe Edition)"
"Valentine","Tricky","False Idols"
"Suntoucher","Groove Armada","Original Album Classics"
"Bonnie & Clyde","Tricky","False Idols"
"Pots And Pans","The Kills","Blood Pressures"
"Snake Ranger","Fila Brazillia","Black Market Gardening"
"July 23","Fila Brazillia","Black Market Gardening"
